tissue,cell_type,gene,n_cells,n_donors,age_range,frac_detected,slope_per_year,se,p,q
Lung,alveolar adventitial fibroblast,IL4R,683,4,2.0,0.29282576866764276,-0.11127066142885596,0.00764071354375415,4.83883570245823e-48,2.564582922302862e-46
Lung,basal cell,TSLP,2436,4,2.0,0.16707717569786534,0.03378313933380755,0.01433479578894757,0.018437006437672838,0.043110059170440904
Lung,basal cell,IL33,2436,4,2.0,0.6330049261083743,-0.08553092391600896,0.1153673431003939,0.45846368185316977,0.5878687533439838
Lung,basal cell,STAT6,2436,4,2.0,0.4815270935960591,-0.001731381489813097,0.016539041399916233,0.9166261514900854,0.940281019915636
Lung,basal cell,IL1RL1,2436,4,2.0,0.07922824302134647,0.14119267144282555,0.028257565217316167,5.834006633621006e-07,3.567719441329769e-06
Lung,basal cell,IL18,2436,4,2.0,0.5874384236453202,-0.19445392955851246,0.101592321683571,0.055612325846851544,0.11192860518543538
Lung,basal cell,IL4R,2436,4,2.0,0.430623973727422,-0.04480996241511692,0.017776102571336345,0.011708907296126881,0.02908931656381522
Lung,basal cell,CXCL8,2436,4,2.0,0.28981937602627256,-0.46800232784508156,0.21601539429940775,0.03027124151188991,0.06504226216743914
Lung,basophil,STAT6,801,4,2.0,0.19225967540574282,0.007323521467316223,0.017442990837651093,0.6745916113952325,0.7987280018116744
Lung,basophil,IL1RL1,801,4,2.0,0.8714107365792759,0.3232931493485058,0.06686840144042107,1.3330158952425504e-06,6.7672959045941554e-06
